,arabic,english
5223,كانوا يستمعون إلى المذياع.,They were listening to the radio.
5224,كان عليهم البقاء في المنزل طوال اليوم.,They had to stay at home all day.
5225,أعطوه فرصة للهروب.,They gave him a chance to escape.
5226,الصديق الوفي كالطائر النادر.,A real friend is like a rare bird.
5227,كلنا حضرنا حفل زفافها.,We were all present at her wedding.
5228,كنا جميعنا حاضرون وقت حفل زفافها.,We were all present at her wedding.
5229,انتهت المباراة بالتعادل.,The match ended in a draw.
5230,علينا الذهاب إلى هناك شئنا أم أبينا.,We must go there whether we like it or not.
5231,يجب أن نذهب إلى هناك سواء أردنا ذلك أم لا.,We must go there whether we like it or not.
5232,لقد انتخبوا حكومة جديدة.,They have elected a new government.
5233,قررا الزواج الشهر المقبل.,They've decided to get married next month.
5234,إنهما فخوران بابنتهما.,They are proud of their daughter.
5235,سيقيمون حفلة غداً.,They are having a party tomorrow.
5236,أحدثت العاصفة الكثير من الخسائر.,The storm caused a lot of damage.
5237,تسببت العاصفة بخسائر فادحة.,The storm caused a lot of damage.
5238,المحطة ليست بعيدة عن هنا.,The station is not far from here.
5239,جعلتني رائحة الطعام جائعاً.,The smell of food made me hungry.
5240,لم يكن هناك أي أثاث في الغرفة على الإطلاق.,There was absolutely no furniture in that room.
5241,كانت الغرفة خالية من الأثاث.,There was no furniture in that room.
5242,أمطرت مطراً خفيفاً البارحة.,There was a light rain yesterday.
5243,إنه لا يحتاج إلى أن يعمل.,He doesn't need to work.
5244,ليس هناك أمل بتعافيه.,There is no hope of his recovery.
5245,هناك سياج حول المنزل.,There is a fence around the house.
5246,هناك بعض الكتب على المكتب.,There are some books on the desk.
5247,اتهمته الشرطة بالقتل.,The police accused him of murder.
5248,وجهت الشرطة إليه تهمة ارتكاب جريمة قتل.,The police accused him of murder.
5249,أنت صديق توم، أليس ذلك صحيحاً؟,"You're Tom's friend, aren't you?"
5250,أنت أحد أصدقاء توم، صحيح؟,"You're a friend of Tom's, aren't you?"
5251,الحديقة العامة مليئة بالأطفال.,The park is filled with children.
5252,تعجّ الحديقة بالأطفال.,The park is filled with children.
5253,استمر الرجل بالكلام لمدة ساعة.,The man kept talking for an hour.
5254,استمرت المحاضرة مدة ساعتين.,The lecture lasted for two hours.
5255,استمرت المحاضرة ساعتين.,The lecture lasted for two hours.
5256,البحيرة بعيدة جداً عن هنا.,The lake is a long way from here.
5257,تسببت الفيضانات بخسائر فادحة.,The flood caused a lot of damage.
5258,فحص الطبيب المرضى.,The doctor examined the patients.
5259,الساعة مثبتة فوق الحائط.,The clock is above the fireplace.
5260,بقي الأولاد هادئين.,The boys kept quiet.
5261,هبطت الطائرة بسلام.,The airplane made a safe landing.
5262,المكيّف لا يعمل.,The air conditioner doesn't work.
5263,لم تعثر الشرطة على أية أدلة.,The police didn't find any clues.
5264,هذا سؤال صعب.,That's a hard question to answer.
5265,ذلك سؤال صعبٌ الإجابة عليه.,That's a hard question to answer.
5266,أخبرني أين أضع هذه الكتب.,Tell me where to put these books.
5267,علمني كيف أحل هذه المشكلة.,Tell me how to solve the problem.
5268,أخبرني كيف أحل هذه المسألة.,Tell me how to solve the problem.
5269,قل لها ألّا تقرب الكلب.,Tell her not to get near the dog.
5270,اشترى تارو سيارة مستعملة الأسبوع الماضي.,Taro bought a used car last week.
5271,خذ وقتك ، لسنا مستعجلين.,Take your time. There's no hurry.
5272,خذ وقتك ، لست في عجلة من أمري.,Take your time. There's no hurry.
5273,تاكشي يكتب مذكرة يومية باللغة الإنجليزية.,Takeshi keeps a diary in English.
5274,صعدت إلى غرفة نومها في الطابق العلوي.,She went upstairs to her bedroom.
5275,ذهبت إلى إيطاليا لتدرس الموسيقى.,She went to Italy to study music.
5276,نزلت إلى الطابق الخامس.,She went down to the fifth floor.
5277,كانت ترتدي حذاءً ذا لون بني غامق.,She was wearing dark brown shoes.
5278,كانت فخورة للغاية بوالدها.,She was very proud of her father.
5279,خافت من عبور الشارع.,She was afraid to cross the road.
5280,خافت أن تعبر الشارع.,She was scared to cross the road.
5281,تُرك ذاك الطفل في الشمس مدة طويلة للغاية.,That child was left in the sun too long.
5282,اتُّهمت بالكذب.,She was accused of telling a lie.
5283,انتظرتك لساعتين.,She waited for you for two hours.
5284,كانت تعمل لدى شركتنا.,She used to work for our company.
5285,أخرجت قلماً من جيبها.,She took a pen out of her pocket.
5286,حكت لي قصة شيّقة.,She told me an interesting story.
5287,أمضت نهاية الأسبوع كلها لوحدها.,She spent the weekend by herself.
5288,قالت بأنها ستتصل بك لاحقاً.,She says she will call you later.
5289,ظلت عازبة طيلة حياتها.,She remained single all her life.
5290,رفضت مساعدتي.,She refused my offer to help her.
5291,ارتدت معطفها ثم خرجت.,She put on her coat and went out.
5292,نصحته ألا يضع الكثير من السكر.,She advised him not to use too much sugar.
5293,نصحته بألا يكثر من السكر.,She advised him not to use too much sugar.
5294,أبو الأب جد و أبو الجد الجد الأكبر و أبو الجد الأكبر جد الجد لكن لم يُحدد اسم لمن سبقهم من الأجداد.,"The father of a father is a grandfather, a grandfather's father is a great-grandfather, a great-grandfather's father is a great-great-grandfather, but no word has been decided upon for the generations before great-great-grandfather."
5295,صديق في اليد خير من اثنين على الشجرة!,A friend in hand is worth two in the bush!
5296,عصفور في اليد خير من عشرة على الشجرة.,A bird in the hand is worth two in the bush.
5297,لم يكن لحياتي أي معنى لغوي حتى التقيت بصائب.,My life had no linguistic meaning... until the day I met Saeb.
5298,ظنت أنها ستكون مستقلة مادياً عن والديها عندما تصبح طالبة جامعية.,She thought that she could become economically independent from her parents if she went to college.
5299,هل لديك سيارة؟,Do you have a car?
5300,بدأ العلماء بإيجاد إجابات لهذه الأسئلة.,Scientists began to find answers to these questions.
5301,ماذا تتمنى؟,What do you wish for?
5302,درست الإنجليزية عندما كنت هناك.,I studied English when I was there.
5303,القليل يعرف الخطة.,Few people know about the plan.
5304,القليل يعرف أي شيء عن الخطة.,Few people know about the plan.
5305,إنه صادق دائماً.,He always tells the truth.
5306,دائماً ما يصدق.,He always tells the truth.
5307,يصدقنا القول دوماً.,He always tells the truth.
5308,هل عندك سيارة؟,Do you have a car?
5309,أتمتلك سيارة؟,Do you have a car?
5310,تحيا اللغة الفارسية!,Long live the Persian language!
5311,إننا مسؤولون عن حمايتك من الآن فصاعداً.,We are responsible for your protection from now on.
5312,حمايتك هي مسؤوليتنا من الآن فصاعداً.,We are responsible for your protection from now on.
5313,كان ذلك أجمل يوم في حياتي.,That was the best day of my life.
5314,كان ذلك أفضل يوم من أيام عمري.,That was the best day of my life.
5315,يبدو أننا وقعنا في الفخ.,It looks like we fell into a trap.
5316,هل الثعبان حي أم ميت؟,Is the snake alive or dead?
5317,هناك الكثير من الغزلان في نارا!,In Nara there are lots of deer!
5318,لن تسطيع أمي القدوم.,My mother can't come.
5319,أمي لا يمكنها المجيء.,My mother can't come.
5320,لا يمكن لأمي أن تأتي.,My mother can't come.
5321,إنها مواطنة بريطانية و لكن بلدها الأم فرنسا.,"She is a British citizen, but she was born in France."
5322,بما أنك متعب ، من الأفضل لك أن تستريح.,"Now that you are tired, you'd better rest."
5323,أعتقد أنه من الأفضل لك أن تستريح. إنك تبدو مريضاً.,I think you'd better take a rest; you look ill.
5324,من الأفضل لك أن تسرع إذا أردت أن تصل إلى المنزل قبل حلول الليل.,You'd better hurry up if you want to get home before dark.
5325,من الأفضل لك ألا تسبح إذا أكلت للتو.,You'd better not swim if you've just eaten.
